soc_code,onet_soc_code,occupation_title,knowledge_area,importance,source_date,rank
41-3021,41-3021.00,Insurance Sales Agents,Transportation,3.46,08/2018,6
41-3021,41-3021.00,Insurance Sales Agents,Administration and Management,3.39,08/2018,7
41-3021,41-3021.00,Insurance Sales Agents,Education and Training,3.09,08/2018,8
41-3021,41-3021.00,Insurance Sales Agents,Communications and Media,3.07,08/2018,9
41-3021,41-3021.00,Insurance Sales Agents,Computers and Electronics,2.9,08/2018,10
41-3021,41-3021.00,Insurance Sales Agents,Personnel and Human Resources,2.83,08/2018,11
41-3021,41-3021.00,Insurance Sales Agents,Economics and Accounting,2.69,08/2018,12
41-3021,41-3021.00,Insurance Sales Agents,Administrative,2.56,08/2018,13
41-3021,41-3021.00,Insurance Sales Agents,Public Safety and Security,2.47,08/2018,14
41-3021,41-3021.00,Insurance Sales Agents,Telecommunications,2.45,08/2018,15
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Customer and Personal Service,4.32,08/2022,1
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Economics and Accounting,3.93,08/2022,2
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",English Language,3.82,08/2022,3
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Mathematics,3.73,08/2022,4
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Sales and Marketing,3.71,08/2022,5
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Computers and Electronics,3.5,08/2022,6
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Administration and Management,3.42,08/2022,7
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Law and Government,3.11,08/2022,8
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Administrative,3.0,08/2022,9
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Communications and Media,2.68,08/2022,10
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Education and Training,2.65,08/2022,11
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Personnel and Human Resources,2.63,08/2022,12
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Psychology,2.59,08/2022,13
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Telecommunications,2.35,08/2022,14
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Transportation,2.04,08/2022,15
41-3041,41-3041.00,Travel Agents,Customer and Personal Service,4.25,07/2016,1
41-3041,41-3041.00,Travel Agents,English Language,3.97,07/2016,2
41-3041,41-3041.00,Travel Agents,Sales and Marketing,3.88,07/2016,3
41-3041,41-3041.00,Travel Agents,Geography,3.43,07/2016,4
41-3041,41-3041.00,Travel Agents,Computers and Electronics,3.36,07/2016,5
41-3041,41-3041.00,Travel Agents,Administrative,3.17,07/2016,6
41-3041,41-3041.00,Travel Agents,Telecommunications,3.17,07/2016,7
41-3041,41-3041.00,Travel Agents,Transportation,3.09,07/2016,8
41-3041,41-3041.00,Travel Agents,Administration and Management,2.89,07/2016,9
41-3041,41-3041.00,Travel Agents,Communications and Media,2.85,07/2016,10
41-3041,41-3041.00,Travel Agents,Economics and Accounting,2.72,07/2016,11
41-3041,41-3041.00,Travel Agents,Education and Training,2.63,07/2016,12
41-3041,41-3041.00,Travel Agents,Foreign Language,2.28,07/2016,13
41-3041,41-3041.00,Travel Agents,Mathematics,2.06,07/2016,14
41-3041,41-3041.00,Travel Agents,Personnel and Human Resources,1.95,07/2016,15
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Customer and Personal Service,4.49,08/2024,1
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Sales and Marketing,4.46,08/2024,2
41-4011,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Customer and Personal Service,4.42,07/2014,3
41-4011,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Marketing,4.31,07/2014,4
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Design,3.84,08/2024,5
41-4011,41-4011.07,Solar Sales Representatives and Assessors,English Language,3.67,08/2024,6
41-4011,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",English Language,3.66,07/2014,7
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Mathematics,3.59,08/2024,8
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Building and Construction,3.26,08/2024,9
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Administrative,3.18,08/2024,10
41-4011,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Administration and Management,3.17,07/2014,11
41-4011,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Mathematics,3.16,07/2014,12
41-4011,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Production and Processing,3.1,07/2014,13
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Administration and Management,3.07,08/2024,14
41-4011,41-4011.07,Solar Sales Representatives and Assessors,Computers and Electronics,3.07,08/2024,15
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Marketing,4.92,08/2020,1
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Customer and Personal Service,4.84,08/2020,2
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",English Language,4.36,08/2020,3
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Mathematics,3.94,08/2020,4
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Transportation,3.7,08/2020,5
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Computers and Electronics,3.17,08/2020,6
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Administration and Management,2.91,08/2020,7
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Communications and Media,2.77,08/2020,8
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Telecommunications,2.65,08/2020,9
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Psychology,2.57,08/2020,10
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Economics and Accounting,2.37,08/2020,11
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Production and Processing,2.33,08/2020,12
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Administrative,2.17,08/2020,13
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Design,2.04,08/2020,14
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Food Production,1.91,08/2020,15
41-9011,41-9011.00,Demonstrators and Product Promoters,Customer and Personal Service,4.02,07/2016,1
41-9011,41-9011.00,Demonstrators and Product Promoters,Sales and Marketing,3.7,07/2016,2
41-9011,41-9011.00,Demonstrators and Product Promoters,English Language,3.7,07/2016,3
41-9011,41-9011.00,Demonstrators and Product Promoters,Food Production,3.29,07/2016,4
41-9011,41-9011.00,Demonstrators and Product Promoters,Public Safety and Security,3.0,07/2016,5
41-9011,41-9011.00,Demonstrators and Product Promoters,Psychology,2.54,07/2016,6
41-9011,41-9011.00,Demonstrators and Product Promoters,Administrative,2.5,07/2016,7
41-9011,41-9011.00,Demonstrators and Product Promoters,Communications and Media,2.45,07/2016,8
41-9011,41-9011.00,Demonstrators and Product Promoters,Computers and Electronics,2.44,07/2016,9
41-9011,41-9011.00,Demonstrators and Product Promoters,Education and Training,2.29,07/2016,10
41-9011,41-9011.00,Demonstrators and Product Promoters,Administration and Management,2.27,07/2016,11
41-9011,41-9011.00,Demonstrators and Product Promoters,Mathematics,2.13,07/2016,12
41-9011,41-9011.00,Demonstrators and Product Promoters,Telecommunications,2.12,07/2016,13
41-9011,41-9011.00,Demonstrators and Product Promoters,Sociology and Anthropology,2.06,07/2016,14
41-9011,41-9011.00,Demonstrators and Product Promoters,Transportation,2.06,07/2016,15
41-9012,41-9012.00,Models,Customer and Personal Service,2.72,08/2021,1
41-9012,41-9012.00,Models,English Language,2.48,08/2021,2
41-9012,41-9012.00,Models,Fine Arts,2.38,08/2021,3
41-9012,41-9012.00,Models,Transportation,1.84,08/2021,4
41-9012,41-9012.00,Models,Communications and Media,1.78,08/2021,5
41-9012,41-9012.00,Models,Administration and Management,1.77,08/2021,6
41-9012,41-9012.00,Models,Computers and Electronics,1.63,08/2021,7
41-9012,41-9012.00,Models,Public Safety and Security,1.51,08/2021,8
41-9012,41-9012.00,Models,Psychology,1.49,08/2021,9
41-9012,41-9012.00,Models,Administrative,1.47,08/2021,10
41-9012,41-9012.00,Models,Design,1.47,08/2021,11
41-9012,41-9012.00,Models,Personnel and Human Resources,1.41,08/2021,12
41-9012,41-9012.00,Models,Telecommunications,1.39,08/2021,13
41-9012,41-9012.00,Models,Education and Training,1.38,08/2021,14
41-9012,41-9012.00,Models,Law and Government,1.36,08/2021,15
41-9021,41-9021.00,Real Estate Brokers,Sales and Marketing,4.49,07/2015,1
41-9021,41-9021.00,Real Estate Brokers,Customer and Personal Service,4.26,07/2015,2
41-9021,41-9021.00,Real Estate Brokers,English Language,4.13,07/2015,3
41-9021,41-9021.00,Real Estate Brokers,Law and Government,4.0,07/2015,4
41-9021,41-9021.00,Real Estate Brokers,Administration and Management,3.94,07/2015,5
41-9021,41-9021.00,Real Estate Brokers,Economics and Accounting,3.52,07/2015,6
41-9021,41-9021.00,Real Estate Brokers,Computers and Electronics,3.38,07/2015,7
41-9021,41-9021.00,Real Estate Brokers,Mathematics,3.31,07/2015,8
41-9021,41-9021.00,Real Estate Brokers,Communications and Media,3.23,07/2015,9
41-9021,41-9021.00,Real Estate Brokers,Building and Construction,3.2,07/2015,10
41-9021,41-9021.00,Real Estate Brokers,Administrative,3.18,07/2015,11
41-9021,41-9021.00,Real Estate Brokers,Education and Training,3.16,07/2015,12
41-9021,41-9021.00,Real Estate Brokers,Psychology,3.12,07/2015,13
41-9021,41-9021.00,Real Estate Brokers,Personnel and Human Resources,2.87,07/2015,14
41-9021,41-9021.00,Real Estate Brokers,Geography,2.67,07/2015,15
41-9031,41-9031.00,Sales Engineers,Customer and Personal Service,4.54,08/2022,1
41-9031,41-9031.00,Sales Engineers,Sales and Marketing,4.34,08/2022,2
41-9031,41-9031.00,Sales Engineers,Engineering and Technology,4.3,08/2022,3
41-9031,41-9031.00,Sales Engineers,English Language,4.28,08/2022,4
41-9031,41-9031.00,Sales Engineers,Mathematics,3.79,08/2022,5
41-9031,41-9031.00,Sales Engineers,Administration and Management,3.67,08/2022,6
41-9031,41-9031.00,Sales Engineers,Design,3.37,08/2022,7
41-9031,41-9031.00,Sales Engineers,Administrative,3.21,08/2022,8
41-9031,41-9031.00,Sales Engineers,Mechanical,2.99,08/2022,9
41-9031,41-9031.00,Sales Engineers,Computers and Electronics,2.93,08/2022,10
41-9031,41-9031.00,Sales Engineers,Economics and Accounting,2.9,08/2022,11
41-9031,41-9031.00,Sales Engineers,Physics,2.86,08/2022,12
41-9031,41-9031.00,Sales Engineers,Personnel and Human Resources,2.85,08/2022,13
41-9031,41-9031.00,Sales Engineers,Education and Training,2.74,08/2022,14
41-9031,41-9031.00,Sales Engineers,Production and Processing,2.53,08/2022,15
41-9041,41-9041.00,Telemarketers,Sales and Marketing,4.32,08/2023,1
41-9041,41-9041.00,Telemarketers,Customer and Personal Service,4.02,08/2023,2
41-9041,41-9041.00,Telemarketers,English Language,3.77,08/2023,3
41-9041,41-9041.00,Telemarketers,Administration and Management,3.12,08/2023,4
41-9041,41-9041.00,Telemarketers,Computers and Electronics,3.12,08/2023,5
41-9041,41-9041.00,Telemarketers,Communications and Media,3.06,08/2023,6
41-9041,41-9041.00,Telemarketers,Administrative,2.73,08/2023,7
41-9041,41-9041.00,Telemarketers,Law and Government,2.53,08/2023,8
41-9041,41-9041.00,Telemarketers,Telecommunications,2.48,08/2023,9
41-9041,41-9041.00,Telemarketers,Mathematics,2.33,08/2023,10
41-9041,41-9041.00,Telemarketers,Economics and Accounting,2.3,08/2023,11
41-9041,41-9041.00,Telemarketers,Education and Training,2.23,08/2023,12
41-9041,41-9041.00,Telemarketers,Psychology,2.09,08/2023,13
41-9041,41-9041.00,Telemarketers,Geography,2.0,08/2023,14
41-9041,41-9041.00,Telemarketers,Philosophy and Theology,1.99,08/2023,15
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Administration and Management,4.48,07/2015,1
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Customer and Personal Service,4.23,07/2015,2
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,English Language,3.71,07/2015,3
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Administrative,3.7,07/2015,4
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Computers and Electronics,3.28,07/2015,5
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Personnel and Human Resources,3.17,07/2015,6
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Economics and Accounting,3.1,07/2015,7
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Education and Training,2.96,07/2015,8
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Mathematics,2.91,07/2015,9
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Law and Government,2.6,07/2015,10
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Public Safety and Security,2.55,07/2015,11
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Production and Processing,2.33,07/2015,12
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Communications and Media,2.33,07/2015,13
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Sales and Marketing,2.31,07/2015,14
43-1011,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Telecommunications,2.22,07/2015,15
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Customer and Personal Service,4.34,08/2022,1
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",English Language,3.85,08/2022,2
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Administrative,3.68,08/2022,3
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Computers and Electronics,3.49,08/2022,4
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Telecommunications,3.34,08/2022,5
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Administration and Management,2.79,08/2022,6
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Communications and Media,2.73,08/2022,7
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Public Safety and Security,2.54,08/2022,8
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Personnel and Human Resources,2.52,08/2022,9
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Mathematics,2.45,08/2022,10
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Psychology,2.33,08/2022,11
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Economics and Accounting,1.96,08/2022,12
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Education and Training,1.94,08/2022,13
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Law and Government,1.94,08/2022,14
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",Mechanical,1.77,08/2022,15
43-2021,43-2021.00,Telephone Operators,Customer and Personal Service,4.24,08/2024,1
43-2021,43-2021.00,Telephone Operators,Telecommunications,3.75,08/2024,2
43-2021,43-2021.00,Telephone Operators,Administrative,3.59,08/2024,3
43-2021,43-2021.00,Telephone Operators,English Language,3.2,08/2024,4
43-2021,43-2021.00,Telephone Operators,Computers and Electronics,3.11,08/2024,5
43-2021,43-2021.00,Telephone Operators,Administration and Management,2.59,08/2024,6
43-2021,43-2021.00,Telephone Operators,Public Safety and Security,2.43,08/2024,7
43-2021,43-2021.00,Telephone Operators,Education and Training,2.31,08/2024,8
43-2021,43-2021.00,Telephone Operators,Personnel and Human Resources,2.24,08/2024,9
43-2021,43-2021.00,Telephone Operators,Communications and Media,2.13,08/2024,10
43-2021,43-2021.00,Telephone Operators,Sales and Marketing,1.79,08/2024,11
43-2021,43-2021.00,Telephone Operators,Production and Processing,1.79,08/2024,12
43-2021,43-2021.00,Telephone Operators,Foreign Language,1.72,08/2024,13
43-2021,43-2021.00,Telephone Operators,Mathematics,1.7,08/2024,14
43-2021,43-2021.00,Telephone Operators,Psychology,1.65,08/2024,15
43-3011,43-3011.00,Bill and Account Collectors,English Language,4.09,08/2018,1
43-3011,43-3011.00,Bill and Account Collectors,Customer and Personal Service,3.77,08/2018,2
43-3011,43-3011.00,Bill and Account Collectors,Mathematics,3.31,08/2018,3
43-3011,43-3011.00,Bill and Account Collectors,Economics and Accounting,3.26,08/2018,4
43-3011,43-3011.00,Bill and Account Collectors,Law and Government,3.25,08/2018,5
43-3011,43-3011.00,Bill and Account Collectors,Computers and Electronics,3.12,08/2018,6
43-3011,43-3011.00,Bill and Account Collectors,Administration and Management,3.07,08/2018,7
43-3011,43-3011.00,Bill and Account Collectors,Administrative,3.07,08/2018,8
43-3011,43-3011.00,Bill and Account Collectors,Production and Processing,2.35,08/2018,9
43-3011,43-3011.00,Bill and Account Collectors,Education and Training,2.24,08/2018,10
43-3011,43-3011.00,Bill and Account Collectors,Communications and Media,2.23,08/2018,11
43-3011,43-3011.00,Bill and Account Collectors,Sales and Marketing,2.14,08/2018,12
43-3011,43-3011.00,Bill and Account Collectors,Foreign Language,2.04,08/2018,13
43-3011,43-3011.00,Bill and Account Collectors,Telecommunications,1.91,08/2018,14
43-3011,43-3011.00,Bill and Account Collectors,Psychology,1.85,08/2018,15
43-3021,43-3021.00,Billing and Posting Clerks,Administrative,4.41,08/2022,1
43-3021,43-3021.00,Billing and Posting Clerks,Customer and Personal Service,4.24,08/2022,2
43-3021,43-3021.00,Billing and Posting Clerks,English Language,3.72,08/2022,3
43-3021,43-3021.00,Billing and Posting Clerks,Economics and Accounting,3.53,08/2022,4
43-3021,43-3021.00,Billing and Posting Clerks,Mathematics,3.49,08/2022,5
43-3021,43-3021.00,Billing and Posting Clerks,Computers and Electronics,3.42,08/2022,6
43-3021,43-3021.00,Billing and Posting Clerks,Administration and Management,3.41,08/2022,7
43-3021,43-3021.00,Billing and Posting Clerks,Personnel and Human Resources,2.79,08/2022,8
43-3021,43-3021.00,Billing and Posting Clerks,Public Safety and Security,2.49,08/2022,9
43-3021,43-3021.00,Billing and Posting Clerks,Psychology,2.48,08/2022,10
43-3021,43-3021.00,Billing and Posting Clerks,Law and Government,2.46,08/2022,11
43-3021,43-3021.00,Billing and Posting Clerks,Education and Training,2.44,08/2022,12
43-3021,43-3021.00,Billing and Posting Clerks,Sales and Marketing,2.33,08/2022,13
43-3021,43-3021.00,Billing and Posting Clerks,Medicine and Dentistry,2.33,08/2022,14
43-3021,43-3021.00,Billing and Posting Clerks,Production and Processing,2.28,08/2022,15
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Customer and Personal Service,4.18,07/2017,1
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Administrative,3.89,07/2017,2
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Mathematics,3.82,07/2017,3
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",English Language,3.36,07/2017,4
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Economics and Accounting,3.35,07/2017,5
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Computers and Electronics,3.17,07/2017,6
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Administration and Management,2.87,07/2017,7
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Education and Training,2.66,07/2017,8
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Personnel and Human Resources,2.15,07/2017,9
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Law and Government,2.05,07/2017,10
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Telecommunications,2.01,07/2017,11
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Sales and Marketing,1.85,07/2017,12
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Psychology,1.78,07/2017,13
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Communications and Media,1.74,07/2017,14
43-3031,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Public Safety and Security,1.71,07/2017,15
43-3041,43-3041.00,Gambling Cage Workers,Customer and Personal Service,4.73,08/2023,1
43-3041,43-3041.00,Gambling Cage Workers,Mathematics,3.76,08/2023,2
43-3041,43-3041.00,Gambling Cage Workers,English Language,3.19,08/2023,3
43-3041,43-3041.00,Gambling Cage Workers,Administration and Management,3.08,08/2023,4
43-3041,43-3041.00,Gambling Cage Workers,Administrative,3.05,08/2023,5
43-3041,43-3041.00,Gambling Cage Workers,Economics and Accounting,2.82,08/2023,6
43-3041,43-3041.00,Gambling Cage Workers,Computers and Electronics,2.61,08/2023,7
43-3041,43-3041.00,Gambling Cage Workers,Public Safety and Security,2.26,08/2023,8
43-3041,43-3041.00,Gambling Cage Workers,Sales and Marketing,2.19,08/2023,9
43-3041,43-3041.00,Gambling Cage Workers,Personnel and Human Resources,2.05,08/2023,10
43-3041,43-3041.00,Gambling Cage Workers,Law and Government,2.0,08/2023,11
43-3041,43-3041.00,Gambling Cage Workers,Communications and Media,2.0,08/2023,12
43-3041,43-3041.00,Gambling Cage Workers,Education and Training,1.87,08/2023,13
43-3041,43-3041.00,Gambling Cage Workers,Psychology,1.75,08/2023,14
43-3041,43-3041.00,Gambling Cage Workers,Mechanical,1.57,08/2023,15
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Administrative,4.49,08/2022,1
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Mathematics,4.21,08/2022,2
43-3051,43-3051.00,Payroll and Timekeeping Clerks,English Language,4.19,08/2022,3
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Economics and Accounting,4.07,08/2022,4
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Personnel and Human Resources,3.9,08/2022,5
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Administration and Management,3.83,08/2022,6
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Customer and Personal Service,3.21,08/2022,7
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Computers and Electronics,3.15,08/2022,8
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Communications and Media,2.59,08/2022,9
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Education and Training,2.2,08/2022,10
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Law and Government,1.93,08/2022,11
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Public Safety and Security,1.79,08/2022,12
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Psychology,1.77,08/2022,13
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Sociology and Anthropology,1.51,08/2022,14
43-3051,43-3051.00,Payroll and Timekeeping Clerks,Foreign Language,1.46,08/2022,15
43-3061,43-3061.00,Procurement Clerks,English Language,3.95,08/2022,1
43-3061,43-3061.00,Procurement Clerks,Administrative,3.78,08/2022,2
43-3061,43-3061.00,Procurement Clerks,Customer and Personal Service,3.76,08/2022,3
43-3061,43-3061.00,Procurement Clerks,Economics and Accounting,3.47,08/2022,4
43-3061,43-3061.00,Procurement Clerks,Administration and Management,3.44,08/2022,5
43-3061,43-3061.00,Procurement Clerks,Mathematics,3.43,08/2022,6
43-3061,43-3061.00,Procurement Clerks,Computers and Electronics,3.18,08/2022,7
43-3061,43-3061.00,Procurement Clerks,Transportation,3.13,08/2022,8
43-3061,43-3061.00,Procurement Clerks,Public Safety and Security,2.99,08/2022,9
43-3061,43-3061.00,Procurement Clerks,Production and Processing,2.72,08/2022,10
43-3061,43-3061.00,Procurement Clerks,Education and Training,2.72,08/2022,11
43-3061,43-3061.00,Procurement Clerks,Telecommunications,2.62,08/2022,12
43-3061,43-3061.00,Procurement Clerks,Communications and Media,2.55,08/2022,13
43-3061,43-3061.00,Procurement Clerks,Law and Government,2.46,08/2022,14
43-3061,43-3061.00,Procurement Clerks,Personnel and Human Resources,2.39,08/2022,15
43-3071,43-3071.00,Tellers,Customer and Personal Service,3.88,08/2018,1
43-3071,43-3071.00,Tellers,English Language,3.63,08/2018,2
43-3071,43-3071.00,Tellers,Mathematics,3.47,08/2018,3
43-3071,43-3071.00,Tellers,Economics and Accounting,3.11,08/2018,4
43-3071,43-3071.00,Tellers,Public Safety and Security,3.0,08/2018,5
43-3071,43-3071.00,Tellers,Administration and Management,2.91,08/2018,6
43-3071,43-3071.00,Tellers,Administrative,2.85,08/2018,7
43-3071,43-3071.00,Tellers,Sales and Marketing,2.85,08/2018,8
43-3071,43-3071.00,Tellers,Computers and Electronics,2.63,08/2018,9
43-3071,43-3071.00,Tellers,Law and Government,2.45,08/2018,10
43-3071,43-3071.00,Tellers,Education and Training,2.35,08/2018,11
43-3071,43-3071.00,Tellers,Personnel and Human Resources,2.02,08/2018,12
43-3071,43-3071.00,Tellers,Communications and Media,1.95,08/2018,13
43-3071,43-3071.00,Tellers,Psychology,1.88,08/2018,14
43-3071,43-3071.00,Tellers,Production and Processing,1.78,08/2018,15
43-4011,43-4011.00,Brokerage Clerks,English Language,4.09,07/2014,1
43-4011,43-4011.00,Brokerage Clerks,Customer and Personal Service,3.82,07/2014,2
43-4011,43-4011.00,Brokerage Clerks,Mathematics,3.52,07/2014,3
43-4011,43-4011.00,Brokerage Clerks,Computers and Electronics,3.32,07/2014,4
43-4011,43-4011.00,Brokerage Clerks,Economics and Accounting,3.2,07/2014,5
43-4011,43-4011.00,Brokerage Clerks,Administrative,3.07,07/2014,6
43-4011,43-4011.00,Brokerage Clerks,Sales and Marketing,2.83,07/2014,7
43-4011,43-4011.00,Brokerage Clerks,Law and Government,2.66,07/2014,8
43-4011,43-4011.00,Brokerage Clerks,Communications and Media,2.41,07/2014,9
43-4011,43-4011.00,Brokerage Clerks,Education and Training,2.23,07/2014,10
43-4011,43-4011.00,Brokerage Clerks,Foreign Language,2.18,07/2014,11
43-4011,43-4011.00,Brokerage Clerks,Telecommunications,2.16,07/2014,12
43-4011,43-4011.00,Brokerage Clerks,Public Safety and Security,2.08,07/2014,13
43-4011,43-4011.00,Brokerage Clerks,Personnel and Human Resources,2.07,07/2014,14
43-4011,43-4011.00,Brokerage Clerks,Administration and Management,1.98,07/2014,15
43-4021,43-4021.00,Correspondence Clerks,Administrative,4.43,08/2023,1
43-4021,43-4021.00,Correspondence Clerks,English Language,3.95,08/2023,2
43-4021,43-4021.00,Correspondence Clerks,Customer and Personal Service,3.77,08/2023,3
43-4021,43-4021.00,Correspondence Clerks,Economics and Accounting,3.63,08/2023,4
43-4021,43-4021.00,Correspondence Clerks,Mathematics,3.47,08/2023,5
43-4021,43-4021.00,Correspondence Clerks,Computers and Electronics,3.37,08/2023,6
43-4021,43-4021.00,Correspondence Clerks,Administration and Management,2.92,08/2023,7
43-4021,43-4021.00,Correspondence Clerks,Public Safety and Security,2.81,08/2023,8
